Lambda,Pin_Height,Amplitude,v_in,Tin,Tout,Pin,Pout,ΔP(Pa),Twall,,,,
3.57,0.3,0.15,0.3888,294.55,321.49,4087.9,172.3,3915.6,323.18,,,,
3.57,0.3,0.15,0.4665,294.24,316.67,5179.2,191.89,4987.31,318.8,,,,
3.57,0.3,0.15,0.5443,294.02,313.19,6361,208.85,6152.15,315.61,,,,
3.57,0.3,0.15,0.622,293.87,310.53,7628.6,222.8,7405.8,313.19,,,,
3.57,0.3,0.15,0.6998,293.76,308.96,8981.4,232.48,8748.92,311.46,,,,
3.57,0.3,0.15,0.7775,293.68,307.41,10417,236.48,10180.52,309.97,,,,
3.57,0.3,0.15,0.8553,293.61,306.15,11939,233.83,11705.17,308.75,,,,
3.57,0.3,0.15,0.933,293.56,305.1,13546,224.19,13321.81,307.72,,,,
3.57,0.3,0.15,1.0108,293.52,304.2,15240,207.86,15032.14,306.84,,,,
3.57,0.3,0.15,1.0885,293.48,303.43,17016,184.61,16831.39,306.09,,,,
3.57,0.3,0.15,1.1663,293.45,302.76,18873,153.82,18719.18,305.44,,,,
3.57,0.3,0.15,1.244,293.43,302.14,20799,115.42,20683.58,304.86,,,,
4.17,0.3,0.15,0.3888,294.61,321.22,3890.9,171.42,3719.48,324.46,,,,
4.17,0.3,0.15,0.4665,294.28,316.63,4904.9,189.3,4715.6,320.05,,,,
4.17,0.3,0.15,0.5443,294.06,313.27,5995.5,203.48,5792.02,316.78,,,,
4.17,0.3,0.15,0.622,293.9,310.65,7160.1,214.19,6945.91,314.26,,,,
4.17,0.3,0.15,0.6998,293.79,308.58,8399.9,221.14,8178.76,312.27,,,,
4.17,0.3,0.15,0.7775,293.7,307.38,9706,222.78,9483.22,310.82,,,,
4.17,0.3,0.15,0.8553,293.64,306.18,11084,217.78,10866.22,309.55,,,,
4.17,0.3,0.15,0.933,293.58,305.11,12533,205.21,12327.79,308.47,,,,
4.17,0.3,0.15,1.0108,293.54,304.22,14057,184.33,13872.67,307.55,,,,
4.17,0.3,0.15,1.0885,293.5,303.42,15652,155.48,15496.52,306.76,,,,
4.17,0.3,0.15,1.1663,293.47,302.71,17323,119.28,17203.72,306.06,,,,
4.17,0.3,0.15,1.244,293.44,302.11,19067,77.29,18989.71,305.45,,,,
5,0.3,0.15,0.3888,294.62,321.3,3709.1,169.35,3539.75,325.23,,,,
5,0.3,0.15,0.4665,294.29,316.45,4668.5,184.83,4483.67,320.59,,,,
5,0.3,0.15,0.5443,294.07,313.31,5697.7,195.05,5502.65,317.27,,,,
5,0.3,0.15,0.622,293.91,310.69,6795.9,200.29,6595.61,314.65,,,,
5,0.3,0.15,0.6998,293.79,308.6,7965.8,200.4,7765.4,312.59,,,,
5,0.3,0.15,0.7775,293.71,307.22,9201.4,195,9006.4,311.02,,,,
5,0.3,0.15,0.8553,293.64,305.92,10506,184.02,10321.98,309.7,,,,
5,0.3,0.15,0.933,293.58,304.96,11873,166.86,11706.14,308.62,,,,
5,0.3,0.15,1.0108,293.54,304.05,13306,143.48,13162.52,307.68,,,,
5,0.3,0.15,1.0885,293.5,303.33,14795,113.25,14681.75,306.9,,,,
5,0.3,0.15,1.1663,293.47,302.69,16345,76.197,16268.803,306.22,,,,
5,0.3,0.15,1.244,293.44,302.12,17950,32.583,17917.417,305.61,,,,
6.25,0.3,0.15,0.3888,294.72,321.33,3493.8,169.32,3324.48,327.79,,,,
6.25,0.3,0.15,0.4665,294.37,316.47,4369.7,184.48,4185.22,323.17,,,,
6.25,0.3,0.15,0.5443,294.14,313.07,5298.9,194.44,5104.46,319.74,,,,
6.25,0.3,0.15,0.622,293.98,310.45,6278.8,199.1,6079.7,317.02,,,,
6.25,0.3,0.15,0.6998,293.85,308.74,7311.3,198.19,7113.11,314.92,,,,
6.25,0.3,0.15,0.7775,293.76,307.1,8397.6,192.17,8205.43,313.1,,,,
6.25,0.3,0.15,0.8553,293.68,306.23,9537.4,180.13,9357.27,311.71,,,,
6.25,0.3,0.15,0.933,293.62,304.84,10735,163.46,10571.54,310.38,,,,
6.25,0.3,0.15,1.0108,293.58,304.01,11986,140.63,11845.37,309.33,,,,
6.25,0.3,0.15,1.0885,293.53,303.18,13293,112.31,13180.69,308.4,,,,
6.25,0.3,0.15,1.1663,293.5,302.58,14653,77.667,14575.333,307.61,,,,
6.25,0.3,0.15,1.244,293.47,302.05,16064,36.58,16027.42,306.92,,,,
8.33,0.3,0.15,0.3888,294.77,321.27,3286.9,171.61,3115.29,329.35,,,,
8.33,0.3,0.15,0.4665,294.41,316.5,4094.1,188.84,3905.26,324.82,,,,
8.33,0.3,0.15,0.5443,294.18,313.07,4944.3,202.39,4741.91,321.42,,,,
8.33,0.3,0.15,0.622,294.01,310.49,5833.6,212.37,5621.23,318.76,,,,
8.33,0.3,0.15,0.6998,293.88,308.46,6763.6,218.86,6544.74,316.61,,,,
8.33,0.3,0.15,0.7775,293.78,307.14,7729.5,221.15,7508.35,314.91,,,,
8.33,0.3,0.15,0.8553,293.71,305.81,8737.7,220.03,8517.67,313.4,,,,
8.33,0.3,0.15,0.933,293.65,304.89,9783,214.36,9568.64,312.14,,,,
8.33,0.3,0.15,1.0108,293.6,303.96,10872,205.09,10666.91,311.01,,,,
8.33,0.3,0.15,1.0885,293.55,303.41,12000,190.08,11809.92,310.05,,,,
8.33,0.3,0.15,1.1663,293.52,302.71,13176,172.11,13003.89,309.15,,,,
8.33,0.3,0.15,1.244,293.49,302.05,14393,150.36,14242.64,308.37,,,,
5,0,0.15,0.3888,295.42,320.81,2670.7,149.66,2521.04,341.89,,,,
5,0,0.15,0.4665,294.91,316.4,3304.1,152.62,3151.48,335.54,,,,
5,0,0.15,0.5443,294.56,313.14,3974.3,148.41,3825.89,330.56,,,,
5,0,0.15,0.622,294.31,310.7,4683.5,138.06,4545.44,326.61,,,,
5,0,0.15,0.6998,294.12,308.79,5437.5,122.69,5314.81,323.39,,,,
5,0,0.15,0.7775,293.98,307.35,6238.5,103.49,6135.01,320.75,,,,
5,0,0.15,0.8553,293.87,305.95,7092,81.064,7010.936,318.42,,,,
5,0,0.15,0.933,293.78,305.01,8000.7,56.861,7943.839,316.5,,,,
5,0,0.15,1.0108,293.71,304.14,8974.5,31.749,8942.751,314.79,,,,
5,0,0.15,1.0885,293.65,303.38,10075,14.03,10060.97,313.16,,,,
5,0,0.15,1.1663,293.6,302.68,11286,-5.5546,11291.5546,311.71,,,,
5,0,0.15,1.244,293.56,302.09,12573,-29.8,12602.8,310.46,,,,
5,0.15,0.15,0.3888,295.1,321.2,2975.4,151.36,2824.04,334.64,,,,
5,0.15,0.15,0.4665,294.65,316.41,3714.8,156.39,3558.41,328.44,,,,
5,0.15,0.15,0.5443,294.35,312.9,4511.2,155.55,4355.65,323.7,,,,
5,0.15,0.15,0.622,294.14,310.59,5367,150.44,5216.56,320.16,,,,
5,0.15,0.15,0.6998,293.98,308.89,6288.3,143.11,6145.19,317.44,,,,
5,0.15,0.15,0.7775,293.86,307.33,7272.7,134.48,7138.22,315.26,,,,
5,0.15,0.15,0.8553,293.77,306.06,8317.9,124.36,8193.54,313.52,,,,
5,0.15,0.15,0.933,293.7,304.97,9413.9,110.08,9303.82,312.13,,,,
5,0.15,0.15,1.0108,293.64,304.09,10556,89.303,10466.697,311,,,,
5,0.15,0.15,1.0885,293.59,303.29,11735,61.019,11673.981,310.05,,,,
5,0.15,0.15,1.1663,293.55,302.71,12958,27.131,12930.869,309.28,,,,
5,0.15,0.15,1.244,293.51,302.05,14227,-12.509,14239.509,308.55,,,,
5,0.45,0.15,0.3888,294.52,321.48,4243.3,175.2,4068.1,324.59,,,,
5,0.45,0.15,0.4665,294.23,316.54,5321.2,194.79,5126.41,320.69,,,,
5,0.45,0.15,0.5443,294.03,313.11,6457.4,209.69,6247.71,317.73,,,,
5,0.45,0.15,0.622,293.89,310.52,7648.4,219.48,7428.92,315.36,,,,
5,0.45,0.15,0.6998,293.78,308.48,8897,224.06,8672.94,313.4,,,,
5,0.45,0.15,0.7775,293.69,307.47,10198,222.59,9975.41,311.96,,,,
5,0.45,0.15,0.8553,293.63,305.84,11562,216.49,11345.51,310.5,,,,
5,0.45,0.15,0.933,293.58,304.7,12981,204.33,12776.67,309.32,,,,
5,0.45,0.15,1.0108,293.53,303.98,14460,185.6,14274.4,308.39,,,,
5,0.45,0.15,1.0885,293.5,303.47,15998,160.22,15837.78,307.59,,,,
5,0.45,0.15,1.1663,293.47,302.47,17599,131.18,17467.82,306.75,,,,
5,0.45,0.15,1.244,293.44,302.16,19261,91.664,19169.336,306.15,,,,
5,0.6,0.15,0.3888,294.5,321.39,4265.6,172.99,4092.61,324.21,,,,
5,0.6,0.15,0.4665,294.21,316.52,5333.5,190.58,5142.92,320.32,,,,
5,0.6,0.15,0.5443,294.01,313.15,6463,202.61,6260.39,317.41,,,,
5,0.6,0.15,0.622,293.88,310.74,7652.5,208.54,7443.96,315.16,,,,
5,0.6,0.15,0.6998,293.77,308.7,8908.1,208.22,8699.88,313.28,,,,
5,0.6,0.15,0.7775,293.69,307.2,10228,201.23,10026.77,311.79,,,,
5,0.6,0.15,0.8553,293.63,305.85,11618,187.57,11430.43,310.5,,,,
5,0.6,0.15,0.933,293.58,304.94,13075,166.55,12908.45,309.47,,,,
5,0.6,0.15,1.0108,293.54,303.95,14603,138.89,14464.11,308.52,,,,
5,0.6,0.15,1.0885,293.5,303.21,16198,103.9,16094.1,307.72,,,,
5,0.6,0.15,1.1663,293.47,302.5,17860,61.848,17798.152,307,,,,
5,0.6,0.15,1.244,293.45,302.06,19586,12.418,19573.582,306.42,,,,
5,0.3,0.05,0.3888,295.25,320.78,2738.8,249.91,2488.89,338.21,,,,
5,0.3,0.05,0.4665,294.81,316.36,3377.7,301.07,3076.63,333.35,,,,
5,0.3,0.05,0.5443,294.51,312.98,4043.4,353.56,3689.84,329.68,,,,
5,0.3,0.05,0.622,294.3,310.43,4734.3,407.2,4327.1,326.88,,,,
5,0.3,0.05,0.6998,294.14,308.43,5451.9,462.05,4989.85,324.64,,,,
