repeat,partition_seed,calibration_method,n_observations,V_coverage,V_coverage_error,V_MPIW,V_normalized_MPIW,V_interval_score,V_normalized_interval_score,TD_coverage,TD_coverage_error,TD_MPIW,TD_normalized_MPIW,TD_interval_score,TD_normalized_interval_score,macro_coverage,macro_coverage_error,macro_MPIW,macro_normalized_MPIW,macro_interval_score,macro_normalized_interval_score,simultaneous_joint_coverage,nominal_coverage,n_test,V_ECE,TD_ECE,macro_ECE
0,0,uncalibrated,50,0.92,0.020000000000000018,3.2996163665039226,1.6367500839738351,4.170725048794936,2.068857047487546,0.96,0.05999999999999994,2.9738623216250333,2.306407942018033,3.250644229537504,2.5210688514939616,0.94,0.03999999999999998,3.1367393440644777,1.971579012995934,3.71068463916622,2.2949629494907535,0.9,0.9,50,0.04833333333333334,0.06833333333333332,0.05833333333333333
0,0,holdout,50,0.86,0.040000000000000036,3.357272616699603,1.6653500367766467,4.8790062164441315,2.4201946370313907,0.96,0.05999999999999994,3.108760101382152,2.4110292314200272,3.393822213452145,2.6321119340272547,0.9099999999999999,0.04999999999999999,3.2330163590408776,2.038189634098337,4.136414214948138,2.5261532855293227,0.86,0.9,50,0.12833333333333333,0.15166666666666664,0.13999999999999999
0,0,cross_fitted,50,0.92,0.020000000000000018,3.116869408038919,1.5460998184914638,4.182289289022263,2.0745934025848585,0.96,0.05999999999999994,2.9201283990112916,2.2647340740077637,3.3199743103292874,2.574838472164075,0.94,0.03999999999999998,3.0184989035251055,1.9054169462496138,3.7511317996757754,2.324715937374467,0.9,0.9,50,0.03833333333333333,0.09166666666666666,0.065
1,1,uncalibrated,50,0.94,0.039999999999999925,3.300477728698584,1.6371773562648682,3.891799935043346,1.9304983255495047,0.92,0.020000000000000018,2.849662093765549,2.2100832433752817,3.3524366459505206,2.600014953317498,0.9299999999999999,0.02999999999999997,3.0750699112320667,1.923630299820075,3.6221182904969336,2.2652566394335016,0.86,0.9,50,0.03166666666666665,0.025000000000000005,0.02833333333333333
1,1,holdout,50,0.88,0.020000000000000018,3.5778166782107075,1.774749273264463,4.501827705253852,2.2330980502491156,0.96,0.05999999999999994,3.3482441731138715,2.596763440099543,3.377610399609357,2.6195387036091455,0.9199999999999999,0.03999999999999998,3.4630304256622892,2.185756356682003,3.9397190524316046,2.4263183769291308,0.86,0.9,50,0.105,0.10499999999999998,0.10499999999999998
1,1,cross_fitted,50,0.9,0.0,3.186437673782553,1.5806086377450344,3.906457424868573,1.9377690640346892,0.94,0.039999999999999925,3.0207438704493876,2.342767384671556,3.3631137464441845,2.60829568279083,0.9199999999999999,0.019999999999999962,3.1035907721159703,1.9616880112082953,3.6347855856563784,2.2730323734127595,0.88,0.9,50,0.03833333333333334,0.055000000000000014,0.046666666666666676
2,2,uncalibrated,50,0.88,0.020000000000000018,3.0885968281979377,1.5320754161704409,3.6734798409497547,1.822202271508691,0.92,0.020000000000000018,2.8464386306390064,2.207583255093444,3.6692532892580503,2.845725192481729,0.9,0.020000000000000018,2.9675177294184722,1.8698293356319424,3.6713665651039022,2.33396373199521,0.82,0.9,50,0.04166666666666666,0.05833333333333333,0.04999999999999999
2,2,holdout,50,0.86,0.040000000000000036,2.826577551841567,1.402102708757352,3.6948345133667395,1.8327950974585656,0.84,0.06000000000000005,2.6512877130535695,2.0562320567080374,4.03768910400526,3.1314691837477757,0.85,0.050000000000000044,2.7389326324475682,1.7291673827326948,3.8662618086859997,2.482132140603171,0.78,0.9,50,0.11166666666666668,0.10833333333333334,0.11000000000000001
2,2,cross_fitted,50,0.9,0.0,3.093643129999558,1.5345785965344998,3.670184959003596,1.8205678698986114,0.9,0.0,2.8533796056457494,2.2129663959888686,3.902401028809059,3.0265451969095603,0.9,0.0,2.9735113678226535,1.8737724962616842,3.7862929939063275,2.423556533404086,0.84,0.9,50,0.044999999999999984,0.05833333333333335,0.051666666666666666
3,3,uncalibrated,50,0.92,0.020000000000000018,3.292691632196475,1.6333151211780785,3.7329179178533423,1.8516860861578073,0.92,0.020000000000000018,2.905424105389307,2.2533300156070446,3.3189245363779283,2.57402430973257,0.92,0.020000000000000018,3.099057868792891,1.9433225683925617,3.525921227115635,2.2128551979451885,0.88,0.9,50,0.04833333333333336,0.05833333333333337,0.053333333333333365
3,3,holdout,50,0.88,0.020000000000000018,3.478544941254558,1.7255062686992495,4.54072746825179,2.252393987497995,0.86,0.040000000000000036,3.0785970240856226,2.3876359624961303,3.88593216680235,3.0137726102796862,0.87,0.030000000000000027,3.2785709826700904,2.05657111559769,4.21332981752707,2.633083298888841,0.78,0.9,50,0.125,0.11833333333333335,0.12166666666666667
3,3,cross_fitted,50,0.92,0.020000000000000018,3.0531566735215985,1.514495591821344,3.63375994266298,1.8024995122678666,0.94,0.039999999999999925,3.022535905531073,2.344157214965554,3.419901123988033,2.652337687567278,0.9299999999999999,0.02999999999999997,3.037846289526336,1.929326403393449,3.5268305333255068,2.227418599917572,0.88,0.9,50,0.05833333333333335,0.07166666666666667,0.065
4,4,uncalibrated,50,0.96,0.05999999999999994,3.153687075280212,1.5643629476723746,3.1992442642081222,1.586961251390444,0.94,0.039999999999999925,2.7648912730818536,2.1443384062136794,3.3857041139766464,2.625815862763892,0.95,0.04999999999999993,2.9592891741810328,1.8543506769430271,3.2924741890923843,2.1063885570771683,0.92,0.9,50,0.04833333333333334,0.05166666666666667,0.05
4,4,holdout,50,0.9,0.0,3.0978941838996206,1.5366873001094177,3.7860514258972704,1.8780425664552025,0.94,0.039999999999999925,3.0852534033235695,2.3927983823660237,3.398263324936888,2.635556281374916,0.9199999999999999,0.019999999999999962,3.091573793611595,1.9647428412377206,3.592157375417079,2.2567994239150595,0.86,0.9,50,0.10166666666666667,0.1183333333333333,0.10999999999999999
4,4,cross_fitted,50,0.92,0.020000000000000018,3.1367088202274918,1.555941010908643,3.492041317189683,1.7322010453009797,0.92,0.020000000000000018,3.0788516052597243,2.387833405409868,3.873715392991284,3.004297772141153,0.92,0.020000000000000018,3.107780212743608,1.9718872081592553,3.682878355090484,2.3682494087210664,0.88,0.9,50,0.031666666666666676,0.085,0.05833333333333334
5,5,uncalibrated,50,0.92,0.020000000000000018,3.2953035798847354,1.6346107583441118,3.8319667414773644,1.9008185162275175,0.92,0.020000000000000018,2.85140092013093,2.211431807130148,3.293350682519761,2.5541902578272166,0.92,0.020000000000000018,3.073352250007833,1.92302128273713,3.5626587119985627,2.227504387027367,0.88,0.9,50,0.021666666666666667,0.06166666666666667,0.04166666666666667
5,5,holdout,50,0.96,0.05999999999999994,4.308846681389579,2.13737125296999,4.75626955271248,2.3593120305839324,1.0,0.09999999999999998,3.8406405410764797,2.9786462479994134,3.8406405410764797,2.9786462479994134,0.98,0.07999999999999996,4.074743611233029,2.558008750484702,4.29845504689448,2.6689791392916726,0.96,0.9,50,0.16166666666666665,0.18833333333333335,0.175
5,5,cross_fitted,50,0.92,0.020000000000000018,3.272277188313183,1.6231886885783817,3.7992200424811875,1.8845747604758005,0.9,0.0,2.8762624270004427,2.2307133913774804,3.4500113217398236,2.6756899452442626,0.91,0.010000000000000009,3.0742698076568127,1.926951039977931,3.6246156821105053,2.2801323528600315,0.86,0.9,50,0.034999999999999996,0.07833333333333335,0.05666666666666667
6,6,uncalibrated,50,0.96,0.05999999999999994,3.1129410584781905,1.5441511899967477,3.436250016035582,1.7045261865580104,0.88,0.020000000000000018,2.8124557010287945,2.1812274624341517,3.7735877653558627,2.926642813498828,0.9199999999999999,0.03999999999999998,2.9626983797534923,1.8626893262154498,3.604918890695722,2.315584500028419,0.88,0.9,50,0.045000000000000005,0.05499999999999999,0.05
6,6,holdout,50,0.94,0.039999999999999925,3.331734007116394,1.6526818000069945,4.197969037800355,2.082371224997718,0.86,0.040000000000000036,2.7475498463801613,2.130889093520263,4.510830517341535,3.498418623700368,0.8999999999999999,0.03999999999999998,3.0396419267482777,1.8917854467636288,4.354399777570945,2.7903949243490427,0.86,0.9,50,0.12833333333333333,0.11166666666666665,0.12
6,6,cross_fitted,50,0.92,0.020000000000000018,3.0691901804364066,1.5224488933189404,3.4848760870079833,1.7286467863208625,0.92,0.020000000000000018,3.2747854860221697,2.5397918385272362,3.5603025509023083,2.76122738422573,0.92,0.020000000000000018,3.171987833229288,2.0311203659230883,3.522589318955146,2.244937085273296,0.88,0.9,50,0.041666666666666664,0.06500000000000002,0.053333333333333344
7,7,uncalibrated,50,0.96,0.05999999999999994,3.2939493353441787,1.6339389954422248,3.451302949585287,1.7119930819527733,0.9,0.0,2.7686688403778414,2.1472681353909917,3.5266259332679444,2.7351091548082507,0.9299999999999999,0.02999999999999997,3.0313090878610103,1.8906035654166082,3.4889644414266154,2.223551118380512,0.88,0.9,50,0.06500000000000002,0.03166666666666665,0.04833333333333333
7,7,holdout,50,0.96,0.05999999999999994,3.2087735419258028,1.5916881785153538,3.447049503871811,1.7098831919366546,0.92,0.020000000000000018,3.599535724395601,2.7916550547596013,4.0765453988092295,3.16160456233662,0.94,0.03999999999999998,3.4041546331607018,2.1916716166374774,3.76179745134052,2.4357438771366375,0.9,0.9,50,0.15166666666666664,0.15166666666666667,0.15166666666666667
7,7,cross_fitted,50,0.94,0.039999999999999925,3.188214534174153,1.5814900360871829,3.417015741947421,1.6949851683813042,0.9,0.0,2.9645629462743672,2.299195720722979,3.5864095380434344,2.781474912850913,0.9199999999999999,0.019999999999999962,3.0763887402242602,1.940342878405081,3.5017126399954277,2.2382300406161084,0.86,0.9,50,0.03833333333333333,0.028333333333333332,0.03333333333333333
8,8,uncalibrated,50,0.96,0.05999999999999994,3.153885673942304,1.5644614610571892,3.4720798443882526,1.722299305627346,0.92,0.020000000000000018,2.851339739749578,2.2113843580884023,3.4582905361675085,2.6821109707809283,0.94,0.03999999999999998,3.002612706845941,1.8879229095727958,3.4651851902778805,2.202205138204137,0.9,0.9,50,0.06833333333333334,0.06500000000000002,0.06666666666666668
8,8,holdout,50,0.9,0.0,2.9452803316382266,1.4609843371710107,3.839449331261169,1.9045301990708057,0.94,0.039999999999999925,2.928953177934032,2.2715782174121024,3.290949604286934,2.552328078174403,0.9199999999999999,0.019999999999999962,2.937116754786129,1.8662812772915567,3.5651994677740513,2.2284291386226043,0.86,0.9,50,0.13166666666666665,0.15499999999999997,0.1433333333333333
8,8,cross_fitted,50,0.9,0.0,3.275542314938531,1.6248083302835434,3.8046991627941473,1.88729263723365,0.96,0.05999999999999994,3.1280340805639226,2.4259773540469127,3.550341931165223,2.75350232839447,0.9299999999999999,0.02999999999999997,3.2017881977512266,2.0253928421652283,3.677520546979685,2.32039748281406,0.88,0.9,50,0.055000000000000014,0.115,0.085
9,9,uncalibrated,50,0.92,0.020000000000000018,3.1322974371328733,1.5537527772327966,3.7086512891700183,1.8396488060247602,0.9,0.0,2.757931061918016,2.138940346528918,3.7040998095632767,2.8727507513313224,0.91,0.010000000000000009,2.945114249525445,1.8463465618808572,3.7063755493666477,2.3561997786780413,0.84,0.9,50,0.04166666666666668,0.05166666666666666,0.04666666666666667
9,9,holdout,50,0.9,0.0,3.8483836820577046,1.9089620171345445,4.342604011919756,2.154116324954992,0.9,0.0,3.141745108774809,2.436611075765927,4.013594215239778,3.1127821576515635,0.9,0.0,3.495064395416257,2.1727865464502356,4.178099113579767,2.6334492413032775,0.84,0.9,50,0.115,0.10166666666666667,0.10833333333333334
9,9,cross_fitted,50,0.92,0.020000000000000018,3.2228320221933076,1.5986617827779488,3.8152759441903537,1.8925391707440755,0.94,0.039999999999999925,3.262885235516593,2.530562483126859,3.803279471630217,2.949670506026913,0.9299999999999999,0.02999999999999997,3.2428586288549504,2.064612132952404,3.8092777079102853,2.421104838385494,0.86,0.9,50,0.028333333333333332,0.05166666666666662,0.03999999999999997
