calibration_method,metric,point_estimate,ci_lower,ci_upper,confidence,bootstrap_unit,n_bootstrap
uncalibrated,V_coverage,0.9339999999999999,0.882,0.976,0.95,original_observation_id,2000
uncalibrated,V_coverage_error,0.03799999999999998,0.022,0.07799999999999997,0.95,original_observation_id,2000
uncalibrated,V_MPIW,3.2123446715659414,3.1334867310343797,3.289416703722235,0.95,original_observation_id,2000
uncalibrated,V_normalized_MPIW,1.5934596107332668,1.5543427176006894,1.6316906173388939,0.95,original_observation_id,2000
uncalibrated,V_interval_score,3.6568417847506005,3.2890036779787852,4.150160948621779,0.95,original_observation_id,2000
uncalibrated,V_normalized_interval_score,1.8139490878484401,1.6314857389999644,2.0586563790016745,0.95,original_observation_id,2000
uncalibrated,TD_coverage,0.9179999999999999,0.842,0.9780000000000001,0.95,original_observation_id,2000
uncalibrated,TD_coverage_error,0.022,0.009999999999999998,0.08599999999999998,0.95,original_observation_id,2000
uncalibrated,TD_MPIW,2.8382074687705905,2.771802728103471,2.903136740111468,0.95,original_observation_id,2000
uncalibrated,TD_normalized_MPIW,2.20119949718801,2.149698652596588,2.251556027146065,0.95,original_observation_id,2000
uncalibrated,TD_interval_score,3.4732917541974997,2.960461138490013,4.07923040626907,0.95,original_observation_id,2000
uncalibrated,TD_normalized_interval_score,2.6937453118036196,2.296014523671027,3.16368694607198,0.95,original_observation_id,2000
uncalibrated,macro_coverage,0.9259999999999999,0.8749750000000001,0.97,0.95,original_observation_id,2000
uncalibrated,macro_coverage_error,0.02999999999999999,0.021975000000000026,0.07199999999999995,0.95,original_observation_id,2000
uncalibrated,macro_MPIW,3.0252760701682666,2.9574699355378185,3.0932798822503162,0.95,original_observation_id,2000
uncalibrated,macro_normalized_MPIW,1.8973295539606383,1.8549149540403973,1.9392103666076212,0.95,original_observation_id,2000
uncalibrated,macro_interval_score,3.5650667694740505,3.188356130475002,3.984427348322077,0.95,original_observation_id,2000
uncalibrated,macro_normalized_interval_score,2.25384719982603,2.0018719213058755,2.542870015655931,0.95,original_observation_id,2000
uncalibrated,simultaneous_joint_coverage,0.876,0.796,0.944,0.95,original_observation_id,2000
uncalibrated,V_ECE,0.046000000000000006,0.038333333333333344,0.09999999999999999,0.95,original_observation_id,2000
uncalibrated,TD_ECE,0.052666666666666674,0.041999999999999996,0.11034166666666662,0.95,original_observation_id,2000
uncalibrated,macro_ECE,0.04933333333333333,0.04382916666666666,0.0970083333333333,0.95,original_observation_id,2000
holdout,V_coverage,0.9040000000000001,0.8459999999999999,0.95,0.95,original_observation_id,2000
holdout,V_coverage_error,0.02799999999999999,0.025999999999999978,0.07204999999999977,0.95,original_observation_id,2000
holdout,V_MPIW,3.3981124216033765,3.2894471041730657,3.5166007199763087,0.95,original_observation_id,2000
holdout,V_normalized_MPIW,1.685608317340502,1.631705697255746,1.744383553843919,0.95,original_observation_id,2000
holdout,V_interval_score,4.198578876677936,3.6569732524700296,4.929432810699157,0.95,original_observation_id,2000
holdout,V_normalized_interval_score,2.082673731023637,1.814014301429934,2.445208372936961,0.95,original_observation_id,2000
holdout,TD_coverage,0.9179999999999999,0.8719999999999999,0.958,0.95,original_observation_id,2000
holdout,TD_coverage_error,0.045999999999999985,0.03399999999999999,0.076,0.95,original_observation_id,2000
holdout,TD_MPIW,3.153056681351987,3.051813596513401,3.252914610824597,0.95,original_observation_id,2000
holdout,TD_normalized_MPIW,2.4453838762547067,2.3668638138940117,2.5228296678551914,0.95,original_observation_id,2000
holdout,TD_interval_score,3.7825877485559958,3.3830182490281153,4.249148453428469,0.95,original_observation_id,2000
holdout,TD_normalized_interval_score,2.9336228382901144,2.6237328139948097,3.2954685455800856,0.95,original_observation_id,2000
holdout,macro_coverage,0.9109999999999999,0.8630000000000001,0.95,0.95,original_observation_id,2000
holdout,macro_coverage_error,0.03699999999999999,0.03399999999999999,0.07099999999999998,0.95,original_observation_id,2000
