repeat,partition_seed,calibration_method,target,nominal_coverage,empirical_coverage,absolute_calibration_error,n_observations
0,0,uncalibrated,V,0.5,0.48,0.020000000000000018,50
0,0,uncalibrated,TD,0.5,0.5,0.0,50
0,0,uncalibrated,V,0.6,0.7,0.09999999999999998,50
0,0,uncalibrated,TD,0.6,0.7,0.09999999999999998,50
0,0,uncalibrated,V,0.7,0.78,0.08000000000000007,50
0,0,uncalibrated,TD,0.7,0.82,0.12,50
0,0,uncalibrated,V,0.8,0.86,0.05999999999999994,50
0,0,uncalibrated,TD,0.8,0.9,0.09999999999999998,50
0,0,uncalibrated,V,0.9,0.92,0.020000000000000018,50
0,0,uncalibrated,TD,0.9,0.96,0.05999999999999994,50
0,0,uncalibrated,V,0.95,0.94,0.010000000000000009,50
0,0,uncalibrated,TD,0.95,0.98,0.030000000000000027,50
0,0,holdout,V,0.5,0.72,0.21999999999999997,50
0,0,holdout,TD,0.5,0.7,0.19999999999999996,50
0,0,holdout,V,0.6,0.8,0.20000000000000007,50
0,0,holdout,TD,0.6,0.82,0.21999999999999997,50
0,0,holdout,V,0.7,0.86,0.16000000000000003,50
0,0,holdout,TD,0.7,0.96,0.26,50
0,0,holdout,V,0.8,0.86,0.05999999999999994,50
0,0,holdout,TD,0.8,0.96,0.15999999999999992,50
0,0,holdout,V,0.9,0.86,0.040000000000000036,50
0,0,holdout,TD,0.9,0.96,0.05999999999999994,50
0,0,holdout,V,0.95,0.86,0.08999999999999997,50
0,0,holdout,TD,0.95,0.96,0.010000000000000009,50
0,0,cross_fitted,V,0.5,0.48,0.020000000000000018,50
0,0,cross_fitted,TD,0.5,0.6,0.09999999999999998,50
0,0,cross_fitted,V,0.6,0.52,0.07999999999999996,50
0,0,cross_fitted,TD,0.6,0.72,0.12,50
0,0,cross_fitted,V,0.7,0.72,0.020000000000000018,50
0,0,cross_fitted,TD,0.7,0.82,0.12,50
0,0,cross_fitted,V,0.8,0.84,0.039999999999999925,50
0,0,cross_fitted,TD,0.8,0.92,0.12,50
0,0,cross_fitted,V,0.9,0.92,0.020000000000000018,50
0,0,cross_fitted,TD,0.9,0.96,0.05999999999999994,50
0,0,cross_fitted,V,0.95,1.0,0.050000000000000044,50
0,0,cross_fitted,TD,0.95,0.98,0.030000000000000027,50
