calibration_method,target,nominal_coverage,mean,std,median,count
cross_fitted,TD,0.5,0.5820000000000001,0.09162726425881958,0.61,10
cross_fitted,TD,0.6,0.7020000000000001,0.07800284895082003,0.72,10
cross_fitted,TD,0.7,0.778,0.05692099788303086,0.79,10
cross_fitted,TD,0.8,0.852,0.042373996218855216,0.84,10
cross_fitted,TD,0.9,0.9279999999999999,0.023475755815545327,0.9299999999999999,10
cross_fitted,TD,0.95,0.9719999999999999,0.016865480854231375,0.96,10
cross_fitted,V,0.5,0.512,0.0500666222813829,0.51,10
cross_fitted,V,0.6,0.6060000000000001,0.06801960501698512,0.62,10
cross_fitted,V,0.7,0.72,0.048074017006186534,0.72,10
cross_fitted,V,0.8,0.836,0.04087922591134902,0.85,10
cross_fitted,V,0.9,0.916,0.012649110640673518,0.92,10
cross_fitted,V,0.95,0.984,0.024585451886114367,0.99,10
holdout,TD,0.5,0.678,0.07146094504459527,0.69,10
holdout,TD,0.6,0.78,0.05656854249492378,0.77,10
holdout,TD,0.7,0.9179999999999999,0.05202563470700445,0.9299999999999999,10
holdout,TD,0.8,0.9179999999999999,0.05202563470700445,0.9299999999999999,10
holdout,TD,0.9,0.9179999999999999,0.05202563470700445,0.9299999999999999,10
holdout,TD,0.95,0.9179999999999999,0.05202563470700445,0.9299999999999999,10
holdout,V,0.5,0.6799999999999999,0.047140452079103154,0.68,10
holdout,V,0.6,0.79,0.03299831645537221,0.79,10
holdout,V,0.7,0.9039999999999999,0.0374759181934805,0.9,10
holdout,V,0.8,0.9039999999999999,0.0374759181934805,0.9,10
holdout,V,0.9,0.9039999999999999,0.0374759181934805,0.9,10
holdout,V,0.95,0.9039999999999999,0.0374759181934805,0.9,10
uncalibrated,TD,0.5,0.516,0.06785605679999719,0.54,10
uncalibrated,TD,0.6,0.648,0.06941021378570861,0.67,10
uncalibrated,TD,0.7,0.768,0.05902918298980976,0.78,10
uncalibrated,TD,0.8,0.8560000000000001,0.03627058802329452,0.86,10
uncalibrated,TD,0.9,0.9179999999999999,0.022010098692292236,0.92,10
uncalibrated,TD,0.95,0.9480000000000001,0.026997942308422115,0.94,10
uncalibrated,V,0.5,0.502,0.045655716448703844,0.5,10
uncalibrated,V,0.6,0.642,0.046619023298792216,0.65,10
uncalibrated,V,0.7,0.756,0.050596442562694084,0.76,10
uncalibrated,V,0.8,0.8480000000000001,0.03425395354310701,0.86,10
uncalibrated,V,0.9,0.9339999999999999,0.026749870196985135,0.9299999999999999,10
uncalibrated,V,0.95,0.968,0.021499353995462833,0.96,10
