repeat,partition_seed,outer_fold,model_role,selected_family,selected_kernel,inner_cv_score,n_outer_train,n_outer_test
0,0,0,final_outer_model,ICM,"[""Matern"", 0.5]",0.7861955967743575,40,10
0,0,1,final_outer_model,IND,"[[""Matern"", 1.5], [""Matern"", 0.5]]",0.7660234986300518,40,10
0,0,2,final_outer_model,IND,"[[""Matern"", 0.5], [""Matern"", 0.5]]",0.9361469676327734,40,10
0,0,3,final_outer_model,IND,"[[""Matern"", 0.5], [""RBF"", null]]",0.8759026754881261,40,10
0,0,4,final_outer_model,IND,"[[""Matern"", 0.5], [""Matern"", 0.5]]",0.7358061939874985,40,10
1,1,0,final_outer_model,IND,"[[""Matern"", 0.5], [""Matern"", 0.5]]",0.7458447573722773,40,10
1,1,1,final_outer_model,ICM,"[""Matern"", 2.5]",0.7378725451486577,40,10
1,1,2,final_outer_model,IND,"[[""Matern"", 0.5], [""Matern"", 0.5]]",0.7796448952751107,40,10
1,1,3,final_outer_model,IND,"[[""Matern"", 0.5], [""Matern"", 0.5]]",0.8968134180042648,40,10
1,1,4,final_outer_model,IND,"[[""Matern"", 0.5], [""Matern"", 0.5]]",0.8851543937629691,40,10
2,2,0,final_outer_model,IND,"[[""Matern"", 0.5], [""Matern"", 0.5]]",0.8051897012919669,40,10
2,2,1,final_outer_model,IND,"[[""Matern"", 0.5], [""Matern"", 0.5]]",0.8135619140132457,40,10
2,2,2,final_outer_model,IND,"[[""Matern"", 1.5], [""Matern"", 0.5]]",0.7792970456533546,40,10
2,2,3,final_outer_model,IND,"[[""Matern"", 1.5], [""Matern"", 1.5]]",0.7717241129654631,40,10
2,2,4,final_outer_model,ICM,"[""Matern"", 2.5]",0.8535520229391306,40,10
3,3,0,final_outer_model,ICM,"[""RBF"", null]",0.880908023978189,40,10
3,3,1,final_outer_model,IND,"[[""Matern"", 0.5], [""Matern"", 0.5]]",0.7895094001102438,40,10
3,3,2,final_outer_model,IND,"[[""Matern"", 2.5], [""Matern"", 0.5]]",0.7276768519706832,40,10
3,3,3,final_outer_model,IND,"[[""Matern"", 0.5], [""Matern"", 1.5]]",0.8338855807747194,40,10
3,3,4,final_outer_model,IND,"[[""Matern"", 1.5], [""Matern"", 1.5]]",0.8073429603072833,40,10
4,4,0,final_outer_model,IND,"[[""Matern"", 0.5], [""Matern"", 0.5]]",0.7741079341176982,40,10
4,4,1,final_outer_model,IND,"[[""Matern"", 0.5], [""Matern"", 0.5]]",0.9862851612263777,40,10
4,4,2,final_outer_model,IND,"[[""Matern"", 0.5], [""Matern"", 2.5]]",0.6773869757125641,40,10
4,4,3,final_outer_model,IND,"[[""Matern"", 0.5], [""Matern"", 2.5]]",0.7538211378475452,40,10
4,4,4,final_outer_model,IND,"[[""Matern"", 1.5], [""Matern"", 0.5]]",0.6997251519355855,40,10
5,5,0,final_outer_model,IND,"[[""Matern"", 0.5], [""RBF"", null]]",0.7356666802259655,40,10
5,5,1,final_outer_model,IND,"[[""Matern"", 0.5], [""Matern"", 0.5]]",0.8844632731981874,40,10
