repeat,partition_seed,outer_fold,family,target,kernel,mean_inner_cv_score,std_inner_cv_score
0,0,0,ICM,__joint__,"[""RBF"", null]",0.9614220430769393,0.09731668108479458
0,0,0,ICM,__joint__,"[""Matern"", 0.5]",0.9614321536321461,0.09731748525208228
0,0,0,ICM,__joint__,"[""Matern"", 1.5]",0.9614577198524467,0.09731291680189838
0,0,0,ICM,__joint__,"[""Matern"", 2.5]",0.9614559079299791,0.09732749527268018
0,0,0,IND,V,"[""RBF"", null]",0.9180429107645391,0.13836182719063256
0,0,0,IND,V,"[""Matern"", 0.5]",0.7792083367799064,0.10602972184568192
0,0,0,IND,V,"[""Matern"", 1.5]",0.7439682399233521,0.10398815413544443
0,0,0,IND,V,"[""Matern"", 2.5]",0.7582959993839273,0.11990857029704662
0,0,0,IND,TD,"[""RBF"", null]",1.0773004529563621,0.2607077413406537
0,0,0,IND,TD,"[""Matern"", 0.5]",0.8112126032720157,0.12722073392384928
0,0,0,IND,TD,"[""Matern"", 1.5]",1.004563558228106,0.21326061647902209
0,0,0,IND,TD,"[""Matern"", 2.5]",1.0317225036301005,0.22925401359774364
0,0,1,ICM,__joint__,"[""RBF"", null]",0.9297039443798649,0.16235266121392253
0,0,1,ICM,__joint__,"[""Matern"", 0.5]",0.9296949195524057,0.16235207768646662
0,0,1,ICM,__joint__,"[""Matern"", 1.5]",0.9296990350899377,0.16235326961516133
0,0,1,ICM,__joint__,"[""Matern"", 2.5]",0.9297046587749505,0.1623617262971384
0,0,1,IND,V,"[""RBF"", null]",0.924096883150062,0.21533123247879124
0,0,1,IND,V,"[""Matern"", 0.5]",0.8260714641415821,0.20417989335027373
0,0,1,IND,V,"[""Matern"", 1.5]",0.837959346959851,0.21359930166473975
0,0,1,IND,V,"[""Matern"", 2.5]",0.8501659516854374,0.21153343113519454
0,0,1,IND,TD,"[""RBF"", null]",1.0599892525409795,0.34883176478858535
0,0,1,IND,TD,"[""Matern"", 0.5]",0.804817503745328,0.11978240317830702
0,0,1,IND,TD,"[""Matern"", 1.5]",0.9169919302556672,0.2113867456927818
0,0,1,IND,TD,"[""Matern"", 2.5]",0.9693155217340692,0.2748470728068225
0,0,2,ICM,__joint__,"[""RBF"", null]",0.8992483135985097,0.16808015508180343
0,0,2,ICM,__joint__,"[""Matern"", 0.5]",0.8992492992553007,0.16807712458672885
0,0,2,ICM,__joint__,"[""Matern"", 1.5]",0.8992522710444326,0.16808964576410282
0,0,2,ICM,__joint__,"[""Matern"", 2.5]",0.8992488926677804,0.16808966834247177
0,0,2,IND,V,"[""RBF"", null]",1.0719024789586205,0.13412795795881846
0,0,2,IND,V,"[""Matern"", 0.5]",0.9058380819344134,0.1637718260749826
0,0,2,IND,V,"[""Matern"", 1.5]",0.991803731986318,0.1154151254777171
0,0,2,IND,V,"[""Matern"", 2.5]",1.0184090258144682,0.11103267038693015
0,0,2,IND,TD,"[""RBF"", null]",0.8163932299246648,0.19361121012058677
0,0,2,IND,TD,"[""Matern"", 0.5]",0.8232380263954333,0.24104347111304628
0,0,2,IND,TD,"[""Matern"", 1.5]",0.7789515298718015,0.22186262394000544
0,0,2,IND,TD,"[""Matern"", 2.5]",0.7861870828287683,0.2079526692075734
0,0,3,ICM,__joint__,"[""RBF"", null]",1.0599989605232814,0.10295389909442824
0,0,3,ICM,__joint__,"[""Matern"", 0.5]",1.0600682370267323,0.10298339756061768
0,0,3,ICM,__joint__,"[""Matern"", 1.5]",1.0600673098337188,0.10298100165943425
0,0,3,ICM,__joint__,"[""Matern"", 2.5]",1.0600339649475572,0.10298653070238525
0,0,3,IND,V,"[""RBF"", null]",1.101892766892425,0.37429852286753196
0,0,3,IND,V,"[""Matern"", 0.5]",1.00690756036985,0.37982052300008273
0,0,3,IND,V,"[""Matern"", 1.5]",1.1808956219433302,0.28575522723818514
0,0,3,IND,V,"[""Matern"", 2.5]",1.1742748663184417,0.20743966840931086
0,0,3,IND,TD,"[""RBF"", null]",0.7315322039340466,0.19808308466952454
0,0,3,IND,TD,"[""Matern"", 0.5]",0.8555759118956887,0.2691291150715335
0,0,3,IND,TD,"[""Matern"", 1.5]",0.7673575973931508,0.19879307091817774
0,0,3,IND,TD,"[""Matern"", 2.5]",0.748118448548485,0.1970947317316947
0,0,4,ICM,__joint__,"[""RBF"", null]",0.7398235643352653,0.0736043185112528
0,0,4,ICM,__joint__,"[""Matern"", 0.5]",0.7398318809352387,0.07360629489368208
0,0,4,ICM,__joint__,"[""Matern"", 1.5]",0.7398257051969603,0.073610179930198
0,0,4,ICM,__joint__,"[""Matern"", 2.5]",0.7922253229885478,0.07886464060314068
0,0,4,IND,V,"[""RBF"", null]",0.9027724336114907,0.1532898440884123
0,0,4,IND,V,"[""Matern"", 0.5]",0.7652624283200369,0.23039896574283075
0,0,4,IND,V,"[""Matern"", 1.5]",0.8407842457355008,0.21405557881479767
0,0,4,IND,V,"[""Matern"", 2.5]",0.8870978920013203,0.20910687669760325
0,0,4,IND,TD,"[""RBF"", null]",0.8023550410744431,0.13320328191743266
0,0,4,IND,TD,"[""Matern"", 0.5]",0.7064156463703462,0.20295867349876764
0,0,4,IND,TD,"[""Matern"", 1.5]",0.7003397684974358,0.23443102422017476
0,0,4,IND,TD,"[""Matern"", 2.5]",0.7191274143923467,0.21760653916545566
1,1,0,ICM,__joint__,"[""RBF"", null]",0.8037431978035148,0.13411298984439107
1,1,0,ICM,__joint__,"[""Matern"", 0.5]",0.803742217021804,0.13411331436441082
1,1,0,ICM,__joint__,"[""Matern"", 1.5]",0.8037405343069514,0.13410601401789976
1,1,0,ICM,__joint__,"[""Matern"", 2.5]",0.8037299198873438,0.13410993363774323
1,1,0,IND,V,"[""RBF"", null]",0.8870830473301613,0.19630072321976197
1,1,0,IND,V,"[""Matern"", 0.5]",0.7754219835502358,0.14769913696267103
1,1,0,IND,V,"[""Matern"", 1.5]",0.7905937333951185,0.1965835910149823
1,1,0,IND,V,"[""Matern"", 2.5]",0.818827934947994,0.17495684437882214
1,1,0,IND,TD,"[""RBF"", null]",0.751536237187795,0.1975865727063135
1,1,0,IND,TD,"[""Matern"", 0.5]",0.6780719564468545,0.20480385283849936
1,1,0,IND,TD,"[""Matern"", 1.5]",0.7073698893051444,0.21232370618240745
