repeat,partition_seed,outer_fold,n_outer_train,n_outer_test,selected_family,selected_kernel,inner_cv_score,best_icm_kernel,best_icm_score,best_ind_kernels,best_ind_score
0,0,0,40,10,IND,"[[""Matern"", 1.5], [""Matern"", 0.5]]",0.7775904215976839,"[""RBF"", null]",0.9614220430769393,"[[""Matern"", 1.5], [""Matern"", 0.5]]",0.7775904215976839
0,0,1,40,10,IND,"[[""Matern"", 0.5], [""Matern"", 0.5]]",0.815444483943455,"[""Matern"", 0.5]",0.9296949195524057,"[[""Matern"", 0.5], [""Matern"", 0.5]]",0.815444483943455
0,0,2,40,10,IND,"[[""Matern"", 0.5], [""Matern"", 1.5]]",0.8423948059031074,"[""RBF"", null]",0.8992483135985097,"[[""Matern"", 0.5], [""Matern"", 1.5]]",0.8423948059031074
0,0,3,40,10,IND,"[[""Matern"", 0.5], [""RBF"", null]]",0.8692198821519483,"[""RBF"", null]",1.0599989605232814,"[[""Matern"", 0.5], [""RBF"", null]]",0.8692198821519483
0,0,4,40,10,IND,"[[""Matern"", 0.5], [""Matern"", 1.5]]",0.7328010984087363,"[""RBF"", null]",0.7398235643352653,"[[""Matern"", 0.5], [""Matern"", 1.5]]",0.7328010984087363
1,1,0,40,10,IND,"[[""Matern"", 0.5], [""Matern"", 0.5]]",0.7267469699985452,"[""Matern"", 2.5]",0.8037299198873438,"[[""Matern"", 0.5], [""Matern"", 0.5]]",0.7267469699985452
1,1,1,40,10,IND,"[[""Matern"", 1.5], [""Matern"", 1.5]]",0.7500954906229624,"[""RBF"", null]",0.7810282187533504,"[[""Matern"", 1.5], [""Matern"", 1.5]]",0.7500954906229624
1,1,2,40,10,IND,"[[""Matern"", 0.5], [""Matern"", 0.5]]",0.7359533555793468,"[""Matern"", 0.5]",0.8594887133818252,"[[""Matern"", 0.5], [""Matern"", 0.5]]",0.7359533555793468
1,1,3,40,10,IND,"[[""Matern"", 1.5], [""Matern"", 0.5]]",0.9751453286420675,"[""Matern"", 2.5]",1.1334978579945467,"[[""Matern"", 1.5], [""Matern"", 0.5]]",0.9751453286420675
1,1,4,40,10,IND,"[[""Matern"", 0.5], [""RBF"", null]]",0.9234414884777747,"[""Matern"", 2.5]",1.0496835027298437,"[[""Matern"", 0.5], [""RBF"", null]]",0.9234414884777747
2,2,0,40,10,IND,"[[""Matern"", 2.5], [""Matern"", 0.5]]",0.7404795288711034,"[""Matern"", 0.5]",0.8992519404099525,"[[""Matern"", 2.5], [""Matern"", 0.5]]",0.7404795288711034
2,2,1,40,10,IND,"[[""Matern"", 0.5], [""Matern"", 0.5]]",0.8210131287981146,"[""RBF"", null]",0.9377163359209785,"[[""Matern"", 0.5], [""Matern"", 0.5]]",0.8210131287981146
2,2,2,40,10,IND,"[[""Matern"", 2.5], [""Matern"", 0.5]]",0.7120590956079943,"[""Matern"", 2.5]",0.8044540169838708,"[[""Matern"", 2.5], [""Matern"", 0.5]]",0.7120590956079943
2,2,3,40,10,IND,"[[""Matern"", 1.5], [""Matern"", 1.5]]",0.7069579133482726,"[""Matern"", 0.5]",0.716448502008286,"[[""Matern"", 1.5], [""Matern"", 1.5]]",0.7069579133482726
2,2,4,40,10,IND,"[[""Matern"", 1.5], [""Matern"", 0.5]]",0.8218380336483819,"[""Matern"", 2.5]",0.8695009180750766,"[[""Matern"", 1.5], [""Matern"", 0.5]]",0.8218380336483819
