repeat,partition_seed,calibration_method,n_observations,T_coverage,T_coverage_error,T_MPIW,T_normalized_MPIW,T_interval_score,T_normalized_interval_score,P_coverage,P_coverage_error,P_MPIW,P_normalized_MPIW,P_interval_score,P_normalized_interval_score,TD_coverage,TD_coverage_error,TD_MPIW,TD_normalized_MPIW,TD_interval_score,TD_normalized_interval_score,macro_coverage,macro_coverage_error,macro_MPIW,macro_normalized_MPIW,macro_interval_score,macro_normalized_interval_score,simultaneous_joint_coverage,nominal_coverage,n_test,T_ECE,P_ECE,TD_ECE,macro_ECE
0,0,uncalibrated,100,0.94,0.039999999999999925,4.896561470325107,1.530517907076914,6.217458518349317,1.9433906132929066,0.96,0.05999999999999994,935.5104740053098,1.4727691473320785,1218.8196148435572,1.9187812160129485,0.89,0.010000000000000009,5.933176809874735,1.7820509631881618,7.438054050349508,2.2340462469634024,0.93,0.036666666666666625,315.4467374285032,1.5951126725323848,410.82504247075207,2.0320726920897525,0.81,0.9,100,0.11333333333333334,0.14666666666666664,0.05333333333333332,0.10444444444444445
0,0,holdout,100,0.9,0.0,4.916895286780779,1.5368736467920638,6.035663863468427,1.8865670695893704,0.88,0.020000000000000018,750.6284617505536,1.1817103819719261,1237.5021351510836,1.9481930080429473,0.92,0.020000000000000018,7.148895439981226,2.1471964198584144,8.315778916298164,2.4976740627019707,0.9,0.013333333333333345,254.2314174924385,1.621926816207468,417.2845259769501,2.1108113801114294,0.75,0.9,100,0.024999999999999977,0.03666666666666666,0.046666666666666655,0.036111111111111094
0,0,cross_fitted,100,0.93,0.030000000000000027,4.608960671271225,1.4406225436245748,6.151089331521214,1.9226456007909396,0.94,0.039999999999999925,725.8224756688521,1.1426584504485262,1115.4980371030392,1.7561226075011598,0.92,0.020000000000000018,6.186563825335872,1.8581566632930984,7.342498458731747,2.205345781843766,0.93,0.02999999999999999,245.5393333884864,1.4804792191220664,376.33054163109745,1.9613713300452886,0.81,0.9,100,0.03666666666666666,0.024999999999999994,0.021666666666666667,0.027777777777777773
1,1,uncalibrated,100,0.92,0.020000000000000018,4.357264473677405,1.3619498791650115,6.249079120420757,1.95327426286949,0.97,0.06999999999999995,957.9430300663635,1.5080846006386215,1179.8907164854186,1.8574956590527727,0.91,0.010000000000000009,6.233797322889764,1.8723434139172443,7.659523803678099,2.300565482759545,0.9333333333333335,0.033333333333333326,322.84469728764356,1.5807926312402925,397.9331064698392,2.0371118015606027,0.82,0.9,100,0.105,0.145,0.0666666666666667,0.10555555555555557
1,1,holdout,100,0.89,0.010000000000000009,5.1412520597780516,1.6070008290458424,7.466565989076654,2.333824055903157,0.93,0.030000000000000027,959.8402381546133,1.51107136520843,1415.9226417990046,2.2290794596049257,0.92,0.020000000000000018,7.1313637418324,2.1419307113562773,8.421863506049432,2.5295369502247276,0.9133333333333334,0.020000000000000018,324.0376179854079,1.7533343018701835,477.2703570980436,2.364146821910937,0.77,0.9,100,0.03666666666666666,0.046666666666666655,0.07333333333333332,0.052222222222222205
1,1,cross_fitted,100,0.92,0.020000000000000018,4.3515939659169325,1.3601774489152907,6.231570443687709,1.9478015768975985,0.91,0.010000000000000009,711.1952038609869,1.1196308144926916,1173.8672046122188,1.8480128764523218,0.92,0.020000000000000018,6.35568128812488,1.9089517006082681,7.7775201014148525,2.336006094555312,0.9166666666666666,0.01666666666666668,240.63415970500955,1.4629199880054167,395.95876505244047,2.0439401826350774,0.78,0.9,100,0.03333333333333333,0.021666666666666685,0.03500000000000001,0.03000000000000001
2,2,uncalibrated,100,0.93,0.030000000000000027,4.335409254504288,1.3551185946993183,5.915232021389915,1.8489236963772737,0.93,0.030000000000000027,892.561425204984,1.4051546889823359,1309.032098684452,2.0608022479488337,0.9,0.0,5.832006380905653,1.7516640615049939,7.839773210288967,2.3547040393807444,0.92,0.020000000000000018,300.9096136134646,1.503979115062216,440.92903463871033,2.088143327902284,0.8,0.9,100,0.10666666666666667,0.1366666666666667,0.046666666666666634,0.09666666666666666
2,2,holdout,100,0.98,0.07999999999999996,7.016324045016766,2.193091960109611,7.4406944439107505,2.325737388677567,0.92,0.020000000000000018,915.7272971849804,1.4416245976270892,1311.1860398797448,2.064193186079128,0.93,0.030000000000000027,7.061165254644493,2.1208463436193568,8.586228400126434,2.578904536458926,0.9433333333333334,0.043333333333333335,309.9349288282139,1.9185209671186856,442.40432090792734,2.322945037071874,0.86,0.9,100,0.07333333333333335,0.028333333333333304,0.075,0.05888888888888888
2,2,cross_fitted,100,0.92,0.020000000000000018,3.9681812510659915,1.2403341610414074,5.996571151279247,1.8743478630289412,0.89,0.010000000000000009,741.6998865620967,1.167654173695717,1406.1873492112281,2.213753240431621,0.9,0.0,5.86024459865863,1.7601455116215081,7.981934576292274,2.397402716216516,0.9033333333333333,0.010000000000000009,250.50943747060708,1.3893779487862108,473.38861831293326,2.161834606559026,0.76,0.9,100,0.026666666666666672,0.025000000000000022,0.016666666666666663,0.022777777777777786
3,3,uncalibrated,100,0.94,0.039999999999999925,4.637695827295529,1.4496042895138845,5.812614509944622,1.8168485473571871,0.94,0.039999999999999925,989.7296416563393,1.5581260936510015,1303.8363223033873,2.052622564916845,0.94,0.039999999999999925,6.330354418821861,1.9013446844544826,7.1999703694494395,2.1625369583541008,0.94,0.039999999999999925,333.5658973008189,1.6363583558731227,438.9496357275937,2.010669356876044,0.85,0.9,100,0.09833333333333333,0.155,0.09833333333333333,0.11722222222222221
3,3,holdout,100,0.98,0.07999999999999996,7.381659382828008,2.307284803392956,7.495262775227327,2.3427938085235094,0.99,0.08999999999999997,1932.4542987001698,3.0422524908456605,2062.9832907109953,3.2477435864641233,0.94,0.039999999999999925,6.835925667202918,2.053194824608442,8.335909421395629,2.503720332204456,0.9700000000000001,0.06999999999999995,648.8906279167336,2.4675773729490196,692.9381543025394,2.6980859090640297,0.92,0.9,100,0.09166666666666667,0.07333333333333332,0.075,0.08
3,3,cross_fitted,100,0.94,0.039999999999999925,4.374328112077917,1.3672834595336325,6.06249938171605,1.8949550458197495,0.92,0.020000000000000018,788.4004926608518,1.2411746886820239,1193.0966146803207,1.8782856341141851,0.95,0.04999999999999993,6.575268233896461,1.9749054283927692,7.476955131774102,2.245730326478171,0.9366666666666665,0.036666666666666625,266.4500296689421,1.527787858869475,402.21202306460356,2.006323668804035,0.83,0.9,100,0.02166666666666665,0.03333333333333335,0.05833333333333333,0.03777777777777777
4,4,uncalibrated,100,0.91,0.010000000000000009,4.499847551111913,1.4065170626022414,6.419532156184307,2.0065527574074973,0.95,0.04999999999999993,936.8816684843165,1.4749278114836692,1269.164810769677,1.998039389316903,0.91,0.010000000000000009,5.999608955637995,1.8020040967517936,7.588957175786398,2.2793705426401045,0.9233333333333333,0.023333333333333317,315.79370833035546,1.5611496569459014,427.72443336721585,2.0946542297881683,0.81,0.9,100,0.09833333333333334,0.14166666666666666,0.045000000000000005,0.09499999999999999
