calibration_method,metric,point_estimate,ci_lower,ci_upper,confidence,bootstrap_unit,n_bootstrap
uncalibrated,T_coverage,0.9269999999999999,0.8779999999999999,0.968,0.95,original_observation_id,2000
uncalibrated,T_coverage_error,0.02699999999999998,0.013000000000000012,0.06799999999999995,0.95,original_observation_id,2000
uncalibrated,T_MPIW,4.615066228220854,4.404014489481179,4.817355723502091,0.95,original_observation_id,2000
uncalibrated,T_normalized_MPIW,1.442530957171656,1.3765625286288112,1.5057605718344793,0.95,original_observation_id,2000
uncalibrated,T_interval_score,6.334567333477068,5.127844411602603,7.7914234697659825,0.95,original_observation_id,2000
uncalibrated,T_normalized_interval_score,1.9799953081825392,1.6028100013091389,2.435364737962623,0.95,original_observation_id,2000
uncalibrated,P_coverage,0.944,0.9,0.9780000000000001,0.95,original_observation_id,2000
uncalibrated,P_coverage_error,0.04399999999999995,0.015000000000000003,0.07799999999999996,0.95,original_observation_id,2000
uncalibrated,P_MPIW,950.7866194383263,913.2147629577581,991.5262635802862,0.95,original_observation_id,2000
uncalibrated,P_normalized_MPIW,1.496818301573591,1.4376691284000844,1.560954505959076,0.95,original_observation_id,2000
uncalibrated,P_interval_score,1246.876842473787,997.8341538868582,1659.6991291665472,0.95,original_observation_id,2000
uncalibrated,P_normalized_interval_score,1.9629515597575349,1.5708849840097385,2.6128554828735515,0.95,original_observation_id,2000
uncalibrated,TD_coverage,0.9120000000000001,0.8629749999999999,0.954,0.95,original_observation_id,2000
uncalibrated,TD_coverage_error,0.014000000000000002,0.01200000000000001,0.05502499999999989,0.95,original_observation_id,2000
uncalibrated,TD_MPIW,6.150650190654668,5.9084337698527465,6.401832680471203,0.95,original_observation_id,2000
uncalibrated,TD_normalized_MPIW,1.8473698741367879,1.77461930225569,1.922813437047061,0.95,original_observation_id,2000
uncalibrated,TD_interval_score,8.004463196012791,6.724955144879198,9.629002752430816,0.95,original_observation_id,2000
uncalibrated,TD_normalized_interval_score,2.4041692680585975,2.0198644296902675,2.8921055581812456,0.95,original_observation_id,2000
uncalibrated,macro_coverage,0.9276666666666668,0.89965,0.9533333333333334,0.95,original_observation_id,2000
uncalibrated,macro_coverage_error,0.02833333333333331,0.020000000000000007,0.05399999999999996,0.95,original_observation_id,2000
uncalibrated,macro_MPIW,320.51744528573386,307.9333064733153,334.2111172609599,0.95,original_observation_id,2000
uncalibrated,macro_normalized_MPIW,1.5955730442940117,1.5340400323280603,1.6582922533966606,0.95,original_observation_id,2000
uncalibrated,macro_interval_score,420.4052910010922,337.1243931442642,558.0931268016939,0.95,original_observation_id,2000
uncalibrated,macro_normalized_interval_score,2.115705378666224,1.8420770084678197,2.43944313359731,0.95,original_observation_id,2000
uncalibrated,simultaneous_joint_coverage,0.8109999999999999,0.744,0.876,0.95,original_observation_id,2000
uncalibrated,T_ECE,0.09716666666666667,0.061995833333333326,0.1405083333333333,0.95,original_observation_id,2000
uncalibrated,P_ECE,0.14633333333333334,0.10633333333333335,0.18684166666666663,0.95,original_observation_id,2000
uncalibrated,TD_ECE,0.06283333333333334,0.03532916666666667,0.11050416666666665,0.95,original_observation_id,2000
uncalibrated,macro_ECE,0.10211111111111111,0.07977361111111113,0.13255694444444444,0.95,original_observation_id,2000
holdout,T_coverage,0.9390000000000001,0.9080000000000001,0.968,0.95,original_observation_id,2000
holdout,T_coverage_error,0.04099999999999997,0.02899999999999999,0.06899999999999996,0.95,original_observation_id,2000
holdout,T_MPIW,6.005634233315308,5.745726339469892,6.277671084351081,0.95,original_observation_id,2000
holdout,T_normalized_MPIW,1.8771807100040199,1.7959413161698312,1.9622112512150995,0.95,original_observation_id,2000
holdout,T_interval_score,7.277120183399882,6.385845752846783,8.295458206324694,0.95,original_observation_id,2000
holdout,T_normalized_interval_score,2.274608992482405,1.996023400460678,2.592910843483214,0.95,original_observation_id,2000
holdout,P_coverage,0.9380000000000001,0.902975,0.967,0.95,original_observation_id,2000
holdout,P_coverage_error,0.041999999999999996,0.030999999999999982,0.06799999999999996,0.95,original_observation_id,2000
holdout,P_MPIW,1329.1768760822702,1255.5672015228836,1408.2613567970554,0.95,original_observation_id,2000
holdout,P_normalized_MPIW,2.0925160635134583,1.9766327456366737,2.2170183395070606,0.95,original_observation_id,2000
holdout,P_interval_score,1662.9489335676044,1432.9129748568967,1992.5961546444778,0.95,original_observation_id,2000
holdout,P_normalized_interval_score,2.617971632601143,2.2558272502773558,3.1369334937411604,0.95,original_observation_id,2000
holdout,TD_coverage,0.9309999999999998,0.891,0.9640000000000001,0.95,original_observation_id,2000
holdout,TD_coverage_error,0.036999999999999963,0.020999999999999998,0.06499999999999996,0.95,original_observation_id,2000
holdout,TD_MPIW,7.243138893247289,6.9648018336286714,7.535874334709086,0.95,original_observation_id,2000
holdout,TD_normalized_MPIW,2.1755027795117194,2.091903244038785,2.263426920681435,0.95,original_observation_id,2000
holdout,TD_interval_score,8.759356020893037,7.727047027859554,10.145494252262662,0.95,original_observation_id,2000
holdout,TD_normalized_interval_score,2.630904039124702,2.320846325644568,3.0472356350773135,0.95,original_observation_id,2000
holdout,macro_coverage,0.9359999999999999,0.9126666666666667,0.9573333333333334,0.95,original_observation_id,2000
holdout,macro_coverage_error,0.03999999999999998,0.03266666666666667,0.059666666666666646,0.95,original_observation_id,2000
holdout,macro_MPIW,447.4752164029443,422.8796170304831,473.93656249938556,0.95,original_observation_id,2000
holdout,macro_normalized_MPIW,2.0483998510097328,1.966696441452222,2.1337629609129483,0.95,original_observation_id,2000
holdout,macro_interval_score,559.6618032572991,482.662628882007,669.9105020156178,0.95,original_observation_id,2000
holdout,macro_normalized_interval_score,2.5078282214027494,2.2759014795780677,2.777280837068169,0.95,original_observation_id,2000
holdout,simultaneous_joint_coverage,0.8370000000000001,0.784975,0.8870000000000001,0.95,original_observation_id,2000
holdout,T_ECE,0.06699999999999999,0.05416666666666666,0.10500416666666665,0.95,original_observation_id,2000
holdout,P_ECE,0.05783333333333333,0.05049999999999999,0.09066666666666666,0.95,original_observation_id,2000
holdout,TD_ECE,0.06216666666666666,0.04283333333333332,0.10399999999999998,0.95,original_observation_id,2000
holdout,macro_ECE,0.06233333333333334,0.05394305555555556,0.08933333333333333,0.95,original_observation_id,2000
cross_fitted,T_coverage,0.9179999999999999,0.865,0.966,0.95,original_observation_id,2000
cross_fitted,T_coverage_error,0.020000000000000007,0.009000000000000008,0.06599999999999995,0.95,original_observation_id,2000
cross_fitted,T_MPIW,4.2218240723009455,4.038232634918786,4.412670995962622,0.95,original_observation_id,2000
cross_fitted,T_normalized_MPIW,1.3196152815285624,1.2622301176329829,1.3792682923086643,0.95,original_observation_id,2000
cross_fitted,T_interval_score,6.396194966982781,4.868102796521142,8.215209449789128,0.95,original_observation_id,2000
cross_fitted,T_normalized_interval_score,1.9992582536643628,1.521622581217615,2.5678274947613233,0.95,original_observation_id,2000
cross_fitted,P_coverage,0.913,0.8630000000000001,0.9570000000000001,0.95,original_observation_id,2000
cross_fitted,P_coverage_error,0.015000000000000003,0.010975000000000044,0.05799999999999994,0.95,original_observation_id,2000
cross_fitted,P_MPIW,749.9525220944356,718.2600265169677,784.7127540643693,0.95,original_observation_id,2000
cross_fitted,P_normalized_MPIW,1.180646253778121,1.1307529271020287,1.2353691014873964,0.95,original_observation_id,2000
cross_fitted,P_interval_score,1202.3175912255003,878.0913548276025,1623.9461385141174,0.95,original_observation_id,2000
cross_fitted,P_normalized_interval_score,1.892802168286026,1.3823745343996836,2.5565697404677943,0.95,original_observation_id,2000
cross_fitted,TD_coverage,0.915,0.8699999999999999,0.954,0.95,original_observation_id,2000
cross_fitted,TD_coverage_error,0.019000000000000006,0.013000000000000001,0.05599999999999994,0.95,original_observation_id,2000
cross_fitted,TD_MPIW,6.312721767354192,6.07257132516629,6.56023340015896,0.95,original_observation_id,2000
cross_fitted,TD_normalized_MPIW,1.8960486542604684,1.823918606475823,1.970389662083784,0.95,original_observation_id,2000
cross_fitted,TD_interval_score,7.974864068938203,6.797516807110679,9.64912500045885,0.95,original_observation_id,2000
cross_fitted,TD_normalized_interval_score,2.395279063939783,2.041658585538604,2.8981493476432734,0.95,original_observation_id,2000
cross_fitted,macro_coverage,0.9153333333333332,0.885,0.943675,0.95,original_observation_id,2000
cross_fitted,macro_coverage_error,0.018000000000000006,0.016333333333333342,0.04533333333333331,0.95,original_observation_id,2000
cross_fitted,macro_MPIW,253.49568931136355,242.8254741331124,265.11981395442666,0.95,original_observation_id,2000
cross_fitted,macro_normalized_MPIW,1.4654367298557172,1.4096419642080158,1.5247226818462096,0.95,original_observation_id,2000
cross_fitted,macro_interval_score,405.5628834204738,297.43952784072707,546.3720772147107,0.95,original_observation_id,2000
cross_fitted,macro_normalized_interval_score,2.0957798286300573,1.7997789061480212,2.4645509246613426,0.95,original_observation_id,2000
cross_fitted,simultaneous_joint_coverage,0.781,0.71,0.8480249999999999,0.95,original_observation_id,2000
cross_fitted,T_ECE,0.028499999999999998,0.028166666666666663,0.06683333333333333,0.95,original_observation_id,2000
cross_fitted,P_ECE,0.02916666666666668,0.027666666666666673,0.07133749999999997,0.95,original_observation_id,2000
cross_fitted,TD_ECE,0.030500000000000006,0.02666666666666666,0.07917083333333333,0.95,original_observation_id,2000
cross_fitted,macro_ECE,0.02938888888888889,0.031276388888888895,0.059890277777777785,0.95,original_observation_id,2000
