repeat,partition_seed,calibration_method,target,nominal_coverage,empirical_coverage,absolute_calibration_error,n_observations
0,0,uncalibrated,T,0.5,0.66,0.16000000000000003,100
0,0,uncalibrated,P,0.5,0.76,0.26,100
0,0,uncalibrated,TD,0.5,0.6,0.09999999999999998,100
0,0,uncalibrated,T,0.6,0.78,0.18000000000000005,100
0,0,uncalibrated,P,0.6,0.82,0.21999999999999997,100
0,0,uncalibrated,TD,0.6,0.69,0.08999999999999997,100
0,0,uncalibrated,T,0.7,0.88,0.18000000000000005,100
0,0,uncalibrated,P,0.7,0.87,0.17000000000000004,100
0,0,uncalibrated,TD,0.7,0.77,0.07000000000000006,100
0,0,uncalibrated,T,0.8,0.91,0.10999999999999999,100
0,0,uncalibrated,P,0.8,0.96,0.15999999999999992,100
0,0,uncalibrated,TD,0.8,0.85,0.04999999999999993,100
0,0,uncalibrated,T,0.9,0.94,0.039999999999999925,100
0,0,uncalibrated,P,0.9,0.96,0.05999999999999994,100
0,0,uncalibrated,TD,0.9,0.89,0.010000000000000009,100
0,0,uncalibrated,T,0.95,0.96,0.010000000000000009,100
0,0,uncalibrated,P,0.95,0.96,0.010000000000000009,100
0,0,uncalibrated,TD,0.95,0.95,0.0,100
0,0,holdout,T,0.5,0.45,0.04999999999999999,100
0,0,holdout,P,0.5,0.49,0.010000000000000009,100
0,0,holdout,TD,0.5,0.55,0.050000000000000044,100
0,0,holdout,T,0.6,0.62,0.020000000000000018,100
0,0,holdout,P,0.6,0.57,0.030000000000000027,100
0,0,holdout,TD,0.6,0.7,0.09999999999999998,100
0,0,holdout,T,0.7,0.68,0.019999999999999907,100
0,0,holdout,P,0.7,0.67,0.029999999999999916,100
0,0,holdout,TD,0.7,0.73,0.030000000000000027,100
0,0,holdout,T,0.8,0.81,0.010000000000000009,100
0,0,holdout,P,0.8,0.74,0.06000000000000005,100
0,0,holdout,TD,0.8,0.85,0.04999999999999993,100
0,0,holdout,T,0.9,0.9,0.0,100
0,0,holdout,P,0.9,0.88,0.020000000000000018,100
0,0,holdout,TD,0.9,0.92,0.020000000000000018,100
0,0,holdout,T,0.95,0.9,0.04999999999999993,100
0,0,holdout,P,0.95,0.88,0.06999999999999995,100
0,0,holdout,TD,0.95,0.92,0.029999999999999916,100
0,0,cross_fitted,T,0.5,0.57,0.06999999999999995,100
0,0,cross_fitted,P,0.5,0.44,0.06,100
0,0,cross_fitted,TD,0.5,0.54,0.040000000000000036,100
0,0,cross_fitted,T,0.6,0.62,0.020000000000000018,100
0,0,cross_fitted,P,0.6,0.6,0.0,100
0,0,cross_fitted,TD,0.6,0.6,0.0,100
0,0,cross_fitted,T,0.7,0.74,0.040000000000000036,100
0,0,cross_fitted,P,0.7,0.72,0.020000000000000018,100
0,0,cross_fitted,TD,0.7,0.69,0.010000000000000009,100
0,0,cross_fitted,T,0.8,0.84,0.039999999999999925,100
0,0,cross_fitted,P,0.8,0.8,0.0,100
0,0,cross_fitted,TD,0.8,0.83,0.029999999999999916,100
0,0,cross_fitted,T,0.9,0.93,0.030000000000000027,100
0,0,cross_fitted,P,0.9,0.94,0.039999999999999925,100
0,0,cross_fitted,TD,0.9,0.92,0.020000000000000018,100
0,0,cross_fitted,T,0.95,0.97,0.020000000000000018,100
