calibration_method,target,nominal_coverage,mean,std,median,count
cross_fitted,P,0.5,0.52,0.05597618541248889,0.53,10
cross_fitted,P,0.6,0.632,0.030840089349921024,0.64,10
cross_fitted,P,0.7,0.733,0.03056868404829432,0.73,10
cross_fitted,P,0.8,0.812,0.020439612955674518,0.81,10
cross_fitted,P,0.9,0.913,0.014944341180973262,0.91,10
cross_fitted,P,0.95,0.9709999999999999,0.01286683937707921,0.975,10
cross_fitted,T,0.5,0.503,0.042176876234364384,0.52,10
cross_fitted,T,0.6,0.613,0.03164033993355811,0.62,10
cross_fitted,T,0.7,0.7150000000000001,0.04249182927993987,0.71,10
cross_fitted,T,0.8,0.82,0.03858612300930075,0.835,10
cross_fitted,T,0.9,0.9179999999999999,0.01316561177208767,0.92,10
cross_fitted,T,0.95,0.95,0.018257418583505526,0.94,10
cross_fitted,TD,0.5,0.546,0.03687817782917154,0.55,10
cross_fitted,TD,0.6,0.632,0.03359894178227776,0.63,10
cross_fitted,TD,0.7,0.716,0.02756809750418047,0.71,10
cross_fitted,TD,0.8,0.8320000000000001,0.018135294011647235,0.835,10
cross_fitted,TD,0.9,0.915,0.017795130420052183,0.92,10
cross_fitted,TD,0.95,0.9719999999999999,0.017511900715418274,0.975,10
holdout,P,0.5,0.5810000000000001,0.06903300337922111,0.575,10
holdout,P,0.6,0.678,0.06477310827461931,0.675,10
holdout,P,0.7,0.727,0.054782397821847004,0.72,10
holdout,P,0.8,0.849,0.06573515886579354,0.83,10
holdout,P,0.9,0.9380000000000001,0.035839146815241606,0.93,10
holdout,P,0.95,0.9380000000000001,0.035839146815241606,0.93,10
holdout,T,0.5,0.588,0.07871185143010906,0.62,10
holdout,T,0.6,0.7020000000000001,0.062325311426774624,0.6950000000000001,10
holdout,T,0.7,0.757,0.0684835746730557,0.755,10
holdout,T,0.8,0.865,0.04648775226993787,0.885,10
holdout,T,0.9,0.9390000000000001,0.03034981237357342,0.94,10
holdout,T,0.95,0.9390000000000001,0.03034981237357342,0.94,10
holdout,TD,0.5,0.584,0.044771022374348816,0.58,10
holdout,TD,0.6,0.7,0.042687494916218954,0.705,10
holdout,TD,0.7,0.74,0.048989794855663564,0.75,10
holdout,TD,0.8,0.877,0.027908580918579347,0.89,10
holdout,TD,0.9,0.931,0.024244128727957566,0.94,10
holdout,TD,0.95,0.931,0.024244128727957566,0.94,10
uncalibrated,P,0.5,0.781,0.02078995483935023,0.78,10
uncalibrated,P,0.6,0.835,0.027588242262078077,0.825,10
uncalibrated,P,0.7,0.8789999999999999,0.021317702607092665,0.875,10
uncalibrated,P,0.8,0.923,0.018885620632287062,0.925,10
uncalibrated,P,0.9,0.944,0.012649110640673492,0.94,10
uncalibrated,P,0.95,0.9640000000000001,0.013498971154211059,0.96,10
uncalibrated,T,0.5,0.6519999999999999,0.030840089349920996,0.65,10
uncalibrated,T,0.6,0.761,0.0372528895225294,0.765,10
uncalibrated,T,0.7,0.835,0.02953340857778223,0.835,10
uncalibrated,T,0.8,0.8960000000000001,0.020110804171997818,0.9,10
uncalibrated,T,0.9,0.9269999999999999,0.016363916944844736,0.93,10
uncalibrated,T,0.95,0.944,0.012649110640673481,0.94,10
uncalibrated,TD,0.5,0.622,0.031552425509864646,0.615,10
uncalibrated,TD,0.6,0.6950000000000001,0.027988092706244437,0.69,10
uncalibrated,TD,0.7,0.779,0.024244128727957576,0.78,10
uncalibrated,TD,0.8,0.851,0.016633299933166208,0.85,10
uncalibrated,TD,0.9,0.9120000000000001,0.013984117975602003,0.91,10
uncalibrated,TD,0.95,0.95,0.021081851067789183,0.945,10
