method,metric,point_estimate,ci_lower,ci_upper,confidence,bootstrap_unit,n_bootstrap
Single GP,T_RMSE,1.2158520629422997,0.9687502642672147,1.461291198602917,0.95,original_observation_id,2000
Single GP,T_MAE,0.8387847978197766,0.6830387352803756,1.0134263797904326,0.95,original_observation_id,2000
Single GP,T_R2,0.8542597904749094,0.7973914907863369,0.8973278751464001,0.95,original_observation_id,2000
Single GP,T_NLL,3.828208116452347,2.4616169615476147,5.542038335728804,0.95,original_observation_id,2000
Single GP,T_CRPS,0.6787399983708959,0.5390278426026408,0.8363343159060782,0.95,original_observation_id,2000
Single GP,T_NRMSE,0.38003880191583567,0.30280220843383415,0.45675569692524604,0.95,original_observation_id,2000
Single GP,T_NMAE,0.2621789108596283,0.21349737400608457,0.31676661901895886,0.95,original_observation_id,2000
Single GP,T_normalized_NLL,2.6652810779041785,1.298689922999447,4.379111297180635,0.95,original_observation_id,2000
Single GP,T_normalized_CRPS,0.2121537180839351,0.16848389844917086,0.261412963883855,0.95,original_observation_id,2000
Single GP,P_RMSE,227.23875677006123,168.0443715914555,288.5765617174105,0.95,original_observation_id,2000
Single GP,P_MAE,136.60420014233802,106.73493610440299,170.6317811674905,0.95,original_observation_id,2000
Single GP,P_R2,0.8716007646094607,0.8089906892076661,0.9191058860411754,0.95,original_observation_id,2000
Single GP,P_NLL,8.022119872005252,6.710440939473008,10.058854524938164,0.95,original_observation_id,2000
Single GP,P_CRPS,113.08424590850625,87.56178978908977,142.93316226528202,0.95,original_observation_id,2000
Single GP,P_NRMSE,0.35774076223452844,0.264551357509759,0.4543045412639188,0.95,original_observation_id,2000
Single GP,P_NMAE,0.21505526336252417,0.16803224037033412,0.26862470259886423,0.95,original_observation_id,2000
Single GP,P_normalized_NLL,1.568171932605697,0.2564930000734544,3.6049065855386075,0.95,original_observation_id,2000
Single GP,P_normalized_CRPS,0.17802792491494487,0.13784805843426237,0.22501891466126128,0.95,original_observation_id,2000
Single GP,TD_RMSE,2.06592714075073,1.666994412856754,2.483834298375729,0.95,original_observation_id,2000
Single GP,TD_MAE,1.4385455501211932,1.1948691390316335,1.7059079382702296,0.95,original_observation_id,2000
Single GP,TD_R2,0.6132018105372451,0.4254583779745505,0.7460416398862574,0.95,original_observation_id,2000
Single GP,TD_NLL,2.5704456548594257,2.1165714474730497,3.0996278844359892,0.95,original_observation_id,2000
Single GP,TD_CRPS,1.1022259805655161,0.9004917767082535,1.325298887676262,0.95,original_observation_id,2000
Single GP,TD_NRMSE,0.6205086362712204,0.5006877587258991,0.7460285519308011,0.95,original_observation_id,2000
Single GP,TD_NMAE,0.4320723223546811,0.35888323714729914,0.5123755758374201,0.95,original_observation_id,2000
Single GP,TD_normalized_NLL,1.3676507944463543,0.9137765870599781,1.8968330240229176,0.95,original_observation_id,2000
Single GP,TD_normalized_CRPS,0.33105753178443775,0.27046593915003203,0.39805828057659776,0.95,original_observation_id,2000
Single GP,macro_NRMSE,0.45276273347386164,0.38098283806985467,0.5199654921244578,0.95,original_observation_id,2000
Single GP,macro_NMAE,0.30310216552561126,0.260655315251886,0.3505675201179708,0.95,original_observation_id,2000
Single GP,macro_R2,0.7796874552072051,0.7101043712970837,0.8323833521885289,0.95,original_observation_id,2000
Single GP,macro_normalized_NLL,1.8670346016520767,1.0896311885427037,2.802800346409268,0.95,original_observation_id,2000
Single GP,macro_normalized_CRPS,0.24041305826110593,0.20481881814640576,0.2817232528693175,0.95,original_observation_id,2000
Single GP,macro_raw_RMSE,76.84017865791807,57.118074587780356,97.20530474721625,0.95,original_observation_id,2000
Single GP,macro_raw_MAE,46.293843496759656,36.307631516405074,57.685714137942924,0.95,original_observation_id,2000
Single GP,macro_raw_NLL,4.806924547772341,4.029521134662968,5.742690292529533,0.95,original_observation_id,2000
Single GP,macro_raw_CRPS,38.288403962480885,29.74426605452395,48.177163658381474,0.95,original_observation_id,2000
Single GP,n_samples,100.0,100.0,100.0,0.95,original_observation_id,2000
Single GP,n_targets,3.0,3.0,3.0,0.95,original_observation_id,2000
Model Selection,T_RMSE,1.2421165879599694,0.9822579115371978,1.4965926716199531,0.95,original_observation_id,2000
Model Selection,T_MAE,0.8584819914924893,0.7096650650332942,1.0286328677205758,0.95,original_observation_id,2000
Model Selection,T_R2,0.8486309108882809,0.7888952304904863,0.8964956668445562,0.95,original_observation_id,2000
Model Selection,T_NLL,2.676025531252142,1.8313137694792578,3.7763495833299294,0.95,original_observation_id,2000
Model Selection,T_CRPS,0.6691793077422095,0.5414607096418478,0.819903268211303,0.95,original_observation_id,2000
Model Selection,T_NRMSE,0.3882483028286762,0.3070242928811504,0.46778987609897926,0.95,original_observation_id,2000
Model Selection,T_NMAE,0.2683356614320351,0.22181996420199007,0.32151970998327756,0.95,original_observation_id,2000
Model Selection,T_normalized_NLL,1.5130984927039735,0.6683867309310891,2.613422544781761,0.95,original_observation_id,2000
Model Selection,T_normalized_CRPS,0.20916533362273576,0.16924433954474563,0.2562771123518576,0.95,original_observation_id,2000
Model Selection,P_RMSE,212.90475301594938,153.70721558377335,272.7531550522258,0.95,original_observation_id,2000
Model Selection,P_MAE,129.3633019715714,101.99553182347397,161.48884963294066,0.95,original_observation_id,2000
Model Selection,P_R2,0.8876352744709475,0.8287579582180533,0.9331997693465091,0.95,original_observation_id,2000
Model Selection,P_NLL,7.533981712721125,6.656606413711935,8.821980258348528,0.95,original_observation_id,2000
Model Selection,P_CRPS,107.28512601996636,83.88796850669182,134.35110100601378,0.95,original_observation_id,2000
Model Selection,P_NRMSE,0.3351748166108366,0.24198044931009188,0.42939383658479563,0.95,original_observation_id,2000
Model Selection,P_NMAE,0.20365595600980094,0.16057102150038247,0.25423103427080856,0.95,original_observation_id,2000
Model Selection,P_normalized_NLL,1.08003377332157,0.20265847431238249,2.36803231894897,0.95,original_observation_id,2000
Model Selection,P_normalized_CRPS,0.16889840141858592,0.13206438119293523,0.21150822141477138,0.95,original_observation_id,2000
Model Selection,TD_RMSE,1.9914333572083098,1.570463242993214,2.434208807180044,0.95,original_observation_id,2000
Model Selection,TD_MAE,1.3513053038710885,1.1085109827489033,1.6248546126628938,0.95,original_observation_id,2000
Model Selection,TD_R2,0.6398672763898599,0.4601479633738855,0.7720346580300887,0.95,original_observation_id,2000
Model Selection,TD_NLL,3.11145629630106,2.442692035012049,3.943463313315672,0.95,original_observation_id,2000
Model Selection,TD_CRPS,1.065331529934696,0.8636477312583231,1.3008968277037907,0.95,original_observation_id,2000
Model Selection,TD_NRMSE,0.5981341608481456,0.4716942751764626,0.7311233574257645,0.95,original_observation_id,2000
Model Selection,TD_NMAE,0.40586940107985503,0.3329452547621018,0.48803091839728413,0.95,original_observation_id,2000
Model Selection,TD_normalized_NLL,1.9086614358879888,1.2398971745989773,2.7406684529026,0.95,original_observation_id,2000
Model Selection,TD_normalized_CRPS,0.3199761510351694,0.2593996977778686,0.39072903422659144,0.95,original_observation_id,2000
Model Selection,macro_NRMSE,0.44051909342921947,0.36978420862509054,0.5087641861584055,0.95,original_observation_id,2000
Model Selection,macro_NMAE,0.2926203395072303,0.2531051846538909,0.3384848166146492,0.95,original_observation_id,2000
Model Selection,macro_R2,0.7920444872496961,0.7255917150438873,0.8441681403086035,0.95,original_observation_id,2000
Model Selection,macro_normalized_NLL,1.5005979006378438,0.9462321186276589,2.1584451891131784,0.95,original_observation_id,2000
Model Selection,macro_normalized_CRPS,0.23267996202549698,0.19829122162191487,0.27170803903712204,0.95,original_observation_id,2000
Model Selection,macro_raw_RMSE,72.04610098703924,52.246546128348136,91.99280454464981,0.95,original_observation_id,2000
Model Selection,macro_raw_MAE,43.857696422311655,34.73631749590286,54.58501305111841,0.95,original_observation_id,2000
Model Selection,macro_raw_NLL,4.440487846758109,3.8861220647479233,5.098335135233443,0.95,original_observation_id,2000
Model Selection,macro_raw_CRPS,36.33987895254775,28.510490594506976,45.3646884455067,0.95,original_observation_id,2000
Model Selection,n_samples,100.0,100.0,100.0,0.95,original_observation_id,2000
Model Selection,n_targets,3.0,3.0,3.0,0.95,original_observation_id,2000
Model Selection + Bagging,T_RMSE,1.3523235895321564,1.0857152567898074,1.6356384543555795,0.95,original_observation_id,2000
Model Selection + Bagging,T_MAE,0.9247566667993878,0.7579567391692876,1.1197122582128274,0.95,original_observation_id,2000
Model Selection + Bagging,T_R2,0.8209793288571431,0.7539131056165937,0.8716239208516845,0.95,original_observation_id,2000
Model Selection + Bagging,T_NLL,1.6445291142185472,1.4804589018737822,1.8555739308698802,0.95,original_observation_id,2000
Model Selection + Bagging,T_CRPS,0.6983786512015211,0.582945161810484,0.8412503517855219,0.95,original_observation_id,2000
Model Selection + Bagging,T_NRMSE,0.4226956982945981,0.3393619487009282,0.5112514075573545,0.95,original_observation_id,2000
Model Selection + Bagging,T_NMAE,0.2890511324738357,0.23691448971255288,0.34998838927155906,0.95,original_observation_id,2000
Model Selection + Bagging,T_normalized_NLL,0.4816020756703786,0.3175318633256139,0.6926468923217118,0.95,original_observation_id,2000
Model Selection + Bagging,T_normalized_CRPS,0.21829217054905709,0.1822111321183019,0.2629495689057505,0.95,original_observation_id,2000
