repeat,partition_seed,outer_fold,n_outer_train,n_outer_test,selected_family,selected_kernel,inner_cv_score,best_icm_kernel,best_icm_score,best_ind_kernels,best_ind_score
0,0,0,80,20,IND,"[[""Matern"", 0.5], [""Matern"", 0.5], [""Matern"", 2.5]]",56.90577673785359,"[""Matern"", 2.5]",59.4796819450152,"[[""Matern"", 0.5], [""Matern"", 0.5], [""Matern"", 2.5]]",56.90577673785359
0,0,1,80,20,IND,"[[""Matern"", 2.5], [""Matern"", 0.5], [""Matern"", 0.5]]",69.30839877754853,"[""Matern"", 1.5]",76.70371544407732,"[[""Matern"", 2.5], [""Matern"", 0.5], [""Matern"", 0.5]]",69.30839877754853
0,0,2,80,20,IND,"[[""Matern"", 0.5], [""Matern"", 0.5], [""Matern"", 0.5]]",70.30795963292185,"[""Matern"", 2.5]",79.32633299421059,"[[""Matern"", 0.5], [""Matern"", 0.5], [""Matern"", 0.5]]",70.30795963292185
0,0,3,80,20,ICM,"[""Matern"", 1.5]",69.0837639550789,"[""Matern"", 1.5]",69.0837639550789,"[[""Matern"", 0.5], [""RBF"", null], [""Matern"", 0.5]]",69.20986675652573
0,0,4,80,20,ICM,"[""Matern"", 0.5]",71.98205984299115,"[""Matern"", 0.5]",71.98205984299115,"[[""Matern"", 0.5], [""Matern"", 0.5], [""Matern"", 0.5]]",74.3818240165955
1,1,0,80,20,ICM,"[""Matern"", 2.5]",66.16917442240205,"[""Matern"", 2.5]",66.16917442240205,"[[""Matern"", 0.5], [""Matern"", 0.5], [""Matern"", 0.5]]",67.88673003194715
1,1,1,80,20,IND,"[[""Matern"", 0.5], [""Matern"", 0.5], [""Matern"", 0.5]]",77.50740896464556,"[""RBF"", null]",88.96605246131313,"[[""Matern"", 0.5], [""Matern"", 0.5], [""Matern"", 0.5]]",77.50740896464556
1,1,2,80,20,ICM,"[""RBF"", null]",64.53692297634879,"[""RBF"", null]",64.53692297634879,"[[""Matern"", 0.5], [""Matern"", 0.5], [""Matern"", 0.5]]",66.5109121598197
1,1,3,80,20,IND,"[[""Matern"", 0.5], [""Matern"", 2.5], [""Matern"", 0.5]]",48.14544606742335,"[""Matern"", 0.5]",52.40628865188322,"[[""Matern"", 0.5], [""Matern"", 2.5], [""Matern"", 0.5]]",48.14544606742335
1,1,4,80,20,IND,"[[""Matern"", 0.5], [""Matern"", 0.5], [""Matern"", 0.5]]",68.02666506438473,"[""RBF"", null]",71.34857267839091,"[[""Matern"", 0.5], [""Matern"", 0.5], [""Matern"", 0.5]]",68.02666506438473
2,2,0,80,20,ICM,"[""Matern"", 1.5]",50.41277099059868,"[""Matern"", 1.5]",50.41277099059868,"[[""Matern"", 0.5], [""Matern"", 0.5], [""Matern"", 2.5]]",55.71665835622438
2,2,1,80,20,ICM,"[""Matern"", 1.5]",58.764350296232294,"[""Matern"", 1.5]",58.764350296232294,"[[""Matern"", 2.5], [""Matern"", 1.5], [""Matern"", 0.5]]",65.88765038184269
2,2,2,80,20,ICM,"[""Matern"", 1.5]",78.50625891656895,"[""Matern"", 1.5]",78.50625891656895,"[[""Matern"", 0.5], [""Matern"", 0.5], [""Matern"", 0.5]]",79.71328208329673
2,2,3,80,20,IND,"[[""Matern"", 2.5], [""Matern"", 0.5], [""Matern"", 0.5]]",81.59249591953747,"[""Matern"", 2.5]",87.52570036944694,"[[""Matern"", 2.5], [""Matern"", 0.5], [""Matern"", 0.5]]",81.59249591953747
2,2,4,80,20,ICM,"[""Matern"", 0.5]",80.35822823609445,"[""Matern"", 0.5]",80.35822823609445,"[[""Matern"", 0.5], [""Matern"", 0.5], [""Matern"", 0.5]]",83.27573398136713
3,3,0,80,20,IND,"[[""RBF"", null], [""Matern"", 0.5], [""Matern"", 0.5]]",67.65148364623379,"[""Matern"", 0.5]",71.48873006035086,"[[""RBF"", null], [""Matern"", 0.5], [""Matern"", 0.5]]",67.65148364623379
3,3,1,80,20,IND,"[[""Matern"", 0.5], [""Matern"", 0.5], [""Matern"", 0.5]]",55.95377015889984,"[""Matern"", 0.5]",61.2202645932019,"[[""Matern"", 0.5], [""Matern"", 0.5], [""Matern"", 0.5]]",55.95377015889984
3,3,2,80,20,ICM,"[""Matern"", 0.5]",65.5925378350837,"[""Matern"", 0.5]",65.5925378350837,"[[""Matern"", 2.5], [""RBF"", null], [""Matern"", 0.5]]",74.09833487714955
3,3,3,80,20,ICM,"[""Matern"", 0.5]",72.34226374208728,"[""Matern"", 0.5]",72.34226374208728,"[[""Matern"", 2.5], [""Matern"", 1.5], [""Matern"", 0.5]]",80.42020070561642
3,3,4,80,20,IND,"[[""Matern"", 0.5], [""Matern"", 0.5], [""Matern"", 0.5]]",61.609405611959176,"[""RBF"", null]",67.59464423618493,"[[""Matern"", 0.5], [""Matern"", 0.5], [""Matern"", 0.5]]",61.609405611959176
4,4,0,80,20,IND,"[[""Matern"", 0.5], [""Matern"", 0.5], [""Matern"", 2.5]]",53.13163786807312,"[""RBF"", null]",61.74662247322046,"[[""Matern"", 0.5], [""Matern"", 0.5], [""Matern"", 2.5]]",53.13163786807312
4,4,1,80,20,ICM,"[""Matern"", 1.5]",63.97808607310003,"[""Matern"", 1.5]",63.97808607310003,"[[""Matern"", 1.5], [""Matern"", 0.5], [""Matern"", 0.5]]",68.4369088730594
4,4,2,80,20,IND,"[[""Matern"", 0.5], [""Matern"", 0.5], [""Matern"", 0.5]]",69.43980976150814,"[""Matern"", 2.5]",71.80155343865258,"[[""Matern"", 0.5], [""Matern"", 0.5], [""Matern"", 0.5]]",69.43980976150814
4,4,3,80,20,ICM,"[""Matern"", 0.5]",73.9925895157551,"[""Matern"", 0.5]",73.9925895157551,"[[""Matern"", 0.5], [""Matern"", 0.5], [""Matern"", 0.5]]",77.81384730506078
4,4,4,80,20,IND,"[[""RBF"", null], [""Matern"", 0.5], [""Matern"", 0.5]]",70.08267494096226,"[""Matern"", 0.5]",76.60250746671217,"[[""RBF"", null], [""Matern"", 0.5], [""Matern"", 0.5]]",70.08267494096226
5,5,0,80,20,ICM,"[""Matern"", 0.5]",66.41968290879531,"[""Matern"", 0.5]",66.41968290879531,"[[""RBF"", null], [""Matern"", 0.5], [""Matern"", 0.5]]",68.67202956016297
5,5,1,80,20,ICM,"[""Matern"", 1.5]",62.688967698194645,"[""Matern"", 1.5]",62.688967698194645,"[[""Matern"", 0.5], [""Matern"", 1.5], [""Matern"", 0.5]]",63.17193958977399
5,5,2,80,20,IND,"[[""Matern"", 0.5], [""Matern"", 2.5], [""Matern"", 0.5]]",63.4338117116839,"[""Matern"", 1.5]",70.56157082334227,"[[""Matern"", 0.5], [""Matern"", 2.5], [""Matern"", 0.5]]",63.4338117116839
